"Plot Title: JAB1_365_20020058"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 20020058, SEN S/N: 20020058, LBL: celcius)","Coupler Detached (LGR S/N: 20020058)","Coupler Attached (LGR S/N: 20020058)","Host Connected (LGR S/N: 20020058)","End Of File (LGR S/N: 20020058)"
1,07/09/18 12:00:00 PM,13.425,Logged,,,
2,07/09/18 12:30:00 PM,13.810,,,,
3,07/09/18 01:00:00 PM,13.858,,,,
4,07/09/18 01:30:00 PM,14.170,,,,
5,07/09/18 02:00:00 PM,14.409,,,,
6,07/09/18 02:30:00 PM,14.505,,,,
7,07/09/18 03:00:00 PM,14.745,,,,
8,07/09/18 03:30:00 PM,14.864,,,,
9,07/09/18 04:00:00 PM,15.079,,,,
10,07/09/18 04:30:00 PM,15.127,,,,
11,07/09/18 05:00:00 PM,15.055,,,,
12,07/09/18 05:30:00 PM,14.888,,,,
13,07/09/18 06:00:00 PM,14.649,,,,
14,07/09/18 06:30:00 PM,14.314,,,,
15,07/09/18 07:00:00 PM,14.218,,,,
16,07/09/18 07:30:00 PM,14.122,,,,
17,07/09/18 08:00:00 PM,14.002,,,,
18,07/09/18 08:30:00 PM,13.858,,,,
19,07/09/18 09:00:00 PM,13.690,,,,
20,07/09/18 09:30:00 PM,13.522,,,,
21,07/09/18 10:00:00 PM,13.377,,,,
22,07/09/18 10:30:00 PM,13.209,,,,
23,07/09/18 11:00:00 PM,13.064,,,,
24,07/09/18 11:30:00 PM,12.944,,,,
25,07/10/18 12:00:00 AM,12.823,,,,
26,07/10/18 12:30:00 AM,12.727,,,,
27,07/10/18 01:00:00 AM,12.630,,,,
28,07/10/18 01:30:00 AM,12.534,,,,
29,07/10/18 02:00:00 AM,12.437,,,,
30,07/10/18 02:30:00 AM,12.364,,,,
31,07/10/18 03:00:00 AM,12.243,,,,
32,07/10/18 03:30:00 AM,12.147,,,,
33,07/10/18 04:00:00 AM,12.050,,,,
34,07/10/18 04:30:00 AM,11.832,,,,
35,07/10/18 05:00:00 AM,11.589,,,,
36,07/10/18 05:30:00 AM,11.492,,,,
37,07/10/18 06:00:00 AM,11.419,,,,
38,07/10/18 06:30:00 AM,11.370,,,,
39,07/10/18 07:00:00 AM,11.248,,,,
40,07/10/18 07:30:00 AM,11.321,,,,
41,07/10/18 08:00:00 AM,11.443,,,,
42,07/10/18 08:30:00 AM,11.686,,,,
43,07/10/18 09:00:00 AM,11.832,,,,
44,07/10/18 09:30:00 AM,11.929,,,,
45,07/10/18 10:00:00 AM,12.389,,,,
46,07/10/18 10:30:00 AM,12.896,,,,
47,07/10/18 11:00:00 AM,12.920,,,,
48,07/10/18 11:30:00 AM,13.064,,,,
49,07/10/18 12:00:00 PM,13.016,,,,
50,07/10/18 12:30:00 PM,13.377,,,,
51,07/10/18 01:00:00 PM,13.690,,,,
52,07/10/18 01:30:00 PM,14.074,,,,
53,07/10/18 02:00:00 PM,14.409,,,,
54,07/10/18 02:30:00 PM,14.529,,,,
55,07/10/18 03:00:00 PM,14.337,,,,
56,07/10/18 03:30:00 PM,14.146,,,,
57,07/10/18 04:00:00 PM,14.146,,,,
58,07/10/18 04:30:00 PM,14.625,,,,
59,07/10/18 05:00:00 PM,14.242,,,,
60,07/10/18 05:30:00 PM,14.002,,,,
61,07/10/18 06:00:00 PM,13.954,,,,
62,07/10/18 06:30:00 PM,13.978,,,,
63,07/10/18 07:00:00 PM,13.762,,,,
64,07/10/18 07:30:00 PM,13.546,,,,
65,07/10/18 08:00:00 PM,13.473,,,,
66,07/10/18 08:30:00 PM,13.305,,,,
67,07/10/18 09:00:00 PM,13.137,,,,
68,07/10/18 09:30:00 PM,12.968,,,,
69,07/10/18 10:00:00 PM,12.799,,,,
70,07/10/18 10:30:00 PM,12.703,,,,
71,07/10/18 11:00:00 PM,12.606,,,,
72,07/10/18 11:30:00 PM,12.461,,,,
73,07/11/18 12:00:00 AM,12.364,,,,
74,07/11/18 12:30:00 AM,12.243,,,,
75,07/11/18 01:00:00 AM,12.147,,,,
76,07/11/18 01:30:00 AM,11.929,,,,
77,07/11/18 02:00:00 AM,11.783,,,,
78,07/11/18 02:30:00 AM,11.710,,,,
79,07/11/18 03:00:00 AM,11.637,,,,
80,07/11/18 03:30:00 AM,11.127,,,,
81,07/11/18 04:00:00 AM,10.907,,,,
82,07/11/18 04:30:00 AM,10.883,,,,
83,07/11/18 05:00:00 AM,10.834,,,,
84,07/11/18 05:30:00 AM,10.810,,,,
85,07/11/18 06:00:00 AM,10.810,,,,
86,07/11/18 06:30:00 AM,10.810,,,,
87,07/11/18 07:00:00 AM,10.810,,,,
88,07/11/18 07:30:00 AM,10.810,,,,
89,07/11/18 08:00:00 AM,10.980,,,,
90,07/11/18 08:30:00 AM,11.224,,,,
91,07/11/18 09:00:00 AM,11.759,,,,
92,07/11/18 09:30:00 AM,12.050,,,,
93,07/11/18 10:00:00 AM,12.437,,,,
94,07/11/18 10:30:00 AM,12.582,,,,
95,07/11/18 11:00:00 AM,13.112,,,,
96,07/11/18 11:30:00 AM,13.257,,,,
97,07/11/18 12:00:00 PM,13.618,,,,
98,07/11/18 12:30:00 PM,13.786,,,,
99,07/11/18 01:00:00 PM,14.218,,,,
100,07/11/18 01:30:00 PM,14.481,,,,
101,07/11/18 02:00:00 PM,14.864,,,,
102,07/11/18 02:30:00 PM,15.008,,,,
103,07/11/18 03:00:00 PM,14.936,,,,
104,07/11/18 03:30:00 PM,15.127,,,,
105,07/11/18 04:00:00 PM,15.390,,,,
106,07/11/18 04:30:00 PM,15.438,,,,
107,07/11/18 05:00:00 PM,15.461,,,,
108,07/11/18 05:30:00 PM,15.390,,,,
109,07/11/18 06:00:00 PM,15.151,,,,
110,07/11/18 06:30:00 PM,14.745,,,,
111,07/11/18 07:00:00 PM,14.337,,,,
112,07/11/18 07:30:00 PM,14.122,,,,
113,07/11/18 08:00:00 PM,13.882,,,,
114,07/11/18 08:30:00 PM,13.594,,,,
115,07/11/18 09:00:00 PM,13.281,,,,
116,07/11/18 09:30:00 PM,13.040,,,,
117,07/11/18 10:00:00 PM,12.823,,,,
118,07/11/18 10:30:00 PM,12.654,,,,
119,07/11/18 11:00:00 PM,12.461,,,,
120,07/11/18 11:30:00 PM,12.292,,,,
121,07/12/18 12:00:00 AM,12.098,,,,
122,07/12/18 12:30:00 AM,12.001,,,,
123,07/12/18 01:00:00 AM,11.904,,,,
124,07/12/18 01:30:00 AM,11.832,,,,
125,07/12/18 02:00:00 AM,11.710,,,,
126,07/12/18 02:30:00 AM,11.540,,,,
127,07/12/18 03:00:00 AM,11.127,,,,
128,07/12/18 03:30:00 AM,10.907,,,,
129,07/12/18 04:00:00 AM,10.834,,,,
130,07/12/18 04:30:00 AM,10.785,,,,
131,07/12/18 05:00:00 AM,10.736,,,,
132,07/12/18 05:30:00 AM,10.663,,,,
133,07/12/18 06:00:00 AM,10.418,,,,
134,07/12/18 06:30:00 AM,10.051,,,,
135,07/12/18 07:00:00 AM,9.903,,,,
136,07/12/18 07:30:00 AM,9.952,,,,
137,07/12/18 08:00:00 AM,10.173,,,,
138,07/12/18 08:30:00 AM,10.541,,,,
139,07/12/18 09:00:00 AM,11.005,,,,
140,07/12/18 09:30:00 AM,11.297,,,,
141,07/12/18 10:00:00 AM,11.419,,,,
142,07/12/18 10:30:00 AM,11.273,,,,
143,07/12/18 11:00:00 AM,11.394,,,,
144,07/12/18 11:30:00 AM,11.904,,,,
145,07/12/18 12:00:00 PM,12.268,,,,
146,07/12/18 12:30:00 PM,12.340,,,,
147,07/12/18 01:00:00 PM,12.437,,,,
148,07/12/18 01:30:00 PM,12.534,,,,
149,07/12/18 02:00:00 PM,12.534,,,,
150,07/12/18 02:30:00 PM,12.534,,,,
151,07/12/18 03:00:00 PM,12.871,,,,
152,07/12/18 03:30:00 PM,13.064,,,,
153,07/12/18 04:00:00 PM,12.968,,,,
154,07/12/18 04:30:00 PM,13.112,,,,
155,07/12/18 05:00:00 PM,12.968,,,,
156,07/12/18 05:30:00 PM,12.968,,,,
157,07/12/18 06:00:00 PM,12.992,,,,
158,07/12/18 06:30:00 PM,12.823,,,,
159,07/12/18 07:00:00 PM,12.582,,,,
160,07/12/18 07:30:00 PM,12.364,,,,
161,07/12/18 08:00:00 PM,12.292,,,,
162,07/12/18 08:30:00 PM,12.147,,,,
163,07/12/18 09:00:00 PM,11.977,,,,
164,07/12/18 09:30:00 PM,11.807,,,,
165,07/12/18 10:00:00 PM,11.686,,,,
166,07/12/18 10:30:00 PM,11.613,,,,
167,07/12/18 11:00:00 PM,11.589,,,,
168,07/12/18 11:30:00 PM,11.540,,,,
169,07/13/18 12:00:00 AM,11.492,,,,
170,07/13/18 12:30:00 AM,11.419,,,,
171,07/13/18 01:00:00 AM,11.370,,,,
172,07/13/18 01:30:00 AM,11.370,,,,
173,07/13/18 02:00:00 AM,11.346,,,,
174,07/13/18 02:30:00 AM,11.175,,,,
175,07/13/18 03:00:00 AM,10.810,,,,
176,07/13/18 03:30:00 AM,10.614,,,,
177,07/13/18 04:00:00 AM,10.565,,,,
178,07/13/18 04:30:00 AM,10.590,,,,
179,07/13/18 05:00:00 AM,10.541,,,,
180,07/13/18 05:30:00 AM,10.418,,,,
181,07/13/18 06:00:00 AM,10.369,,,,
182,07/13/18 06:30:00 AM,10.345,,,,
183,07/13/18 07:00:00 AM,9.952,,,,
184,07/13/18 07:30:00 AM,9.657,,,,
185,07/13/18 08:00:00 AM,9.657,,,,
186,07/13/18 08:30:00 AM,9.879,,,,
187,07/13/18 09:00:00 AM,10.541,,,,
188,07/13/18 09:30:00 AM,11.078,,,,
189,07/13/18 10:00:00 AM,11.321,,,,
190,07/13/18 10:30:00 AM,11.394,,,,
191,07/13/18 11:00:00 AM,11.613,,,,
192,07/13/18 11:30:00 AM,11.540,,,,
193,07/13/18 12:00:00 PM,11.127,,,,
194,07/13/18 12:30:00 PM,11.224,,,,
195,07/13/18 01:00:00 PM,11.419,,,,
196,07/13/18 01:30:00 PM,11.686,,,,
197,07/13/18 02:00:00 PM,11.759,,,,
198,07/13/18 02:30:00 PM,11.516,,,,
199,07/13/18 03:00:00 PM,11.467,,,,
200,07/13/18 03:30:00 PM,11.904,,,,
201,07/13/18 04:00:00 PM,12.243,,,,
202,07/13/18 04:30:00 PM,12.461,,,,
203,07/13/18 05:00:00 PM,12.001,,,,
204,07/13/18 05:30:00 PM,11.662,,,,
205,07/13/18 06:00:00 PM,11.443,,,,
206,07/13/18 06:30:00 PM,11.248,,,,
207,07/13/18 07:00:00 PM,11.175,,,,
208,07/13/18 07:30:00 PM,11.005,,,,
209,07/13/18 08:00:00 PM,10.932,,,,
210,07/13/18 08:30:00 PM,10.810,,,,
211,07/13/18 09:00:00 PM,10.687,,,,
212,07/13/18 09:30:00 PM,10.590,,,,
213,07/13/18 10:00:00 PM,10.492,,,,
214,07/13/18 10:30:00 PM,10.418,,,,
215,07/13/18 11:00:00 PM,10.345,,,,
216,07/13/18 11:30:00 PM,10.247,,,,
217,07/14/18 12:00:00 AM,10.149,,,,
218,07/14/18 12:30:00 AM,10.100,,,,
219,07/14/18 01:00:00 AM,10.026,,,,
220,07/14/18 01:30:00 AM,9.829,,,,
221,07/14/18 02:00:00 AM,9.682,,,,
222,07/14/18 02:30:00 AM,9.608,,,,
223,07/14/18 03:00:00 AM,9.410,,,,
224,07/14/18 03:30:00 AM,9.238,,,,
225,07/14/18 04:00:00 AM,9.089,,,,
226,07/14/18 04:30:00 AM,9.015,,,,
227,07/14/18 05:00:00 AM,8.916,,,,
228,07/14/18 05:30:00 AM,8.792,,,,
229,07/14/18 06:00:00 AM,8.593,,,,
230,07/14/18 06:30:00 AM,8.494,,,,
231,07/14/18 07:00:00 AM,8.469,,,,
232,07/14/18 07:30:00 AM,8.519,,,,
233,07/14/18 08:00:00 AM,8.717,,,,
234,07/14/18 08:30:00 AM,9.089,,,,
235,07/14/18 09:00:00 AM,9.805,,,,
236,07/14/18 09:30:00 AM,10.296,,,,
237,07/14/18 10:00:00 AM,10.296,,,,
238,07/14/18 10:30:00 AM,10.222,,,,
239,07/14/18 11:00:00 AM,10.271,,,,
240,07/14/18 11:30:00 AM,10.443,,,,
241,07/14/18 12:00:00 PM,10.590,,,,
242,07/14/18 12:30:00 PM,10.541,,,,
243,07/14/18 01:00:00 PM,10.320,,,,
244,07/14/18 01:30:00 PM,10.198,,,,
245,07/14/18 02:00:00 PM,10.149,,,,
246,07/14/18 02:30:00 PM,10.075,,,,
247,07/14/18 03:00:00 PM,9.952,,,,
248,07/14/18 03:30:00 PM,9.903,,,,
249,07/14/18 04:00:00 PM,9.903,,,,
250,07/14/18 04:30:00 PM,9.903,,,,
251,07/14/18 05:00:00 PM,9.854,,,,
252,07/14/18 05:30:00 PM,9.805,,,,
253,07/14/18 06:00:00 PM,9.731,,,,
254,07/14/18 06:30:00 PM,9.682,,,,
255,07/14/18 07:00:00 PM,9.608,,,,
256,07/14/18 07:30:00 PM,9.558,,,,
257,07/14/18 08:00:00 PM,9.485,,,,
258,07/14/18 08:30:00 PM,9.410,,,,
259,07/14/18 09:00:00 PM,9.386,,,,
260,07/14/18 09:30:00 PM,9.386,,,,
261,07/14/18 10:00:00 PM,9.336,,,,
262,07/14/18 10:30:00 PM,9.238,,,,
263,07/14/18 11:00:00 PM,9.089,,,,
264,07/14/18 11:30:00 PM,9.015,,,,
265,07/15/18 12:00:00 AM,8.965,,,,
266,07/15/18 12:30:00 AM,8.916,,,,
267,07/15/18 01:00:00 AM,8.891,,,,
268,07/15/18 01:30:00 AM,8.841,,,,
269,07/15/18 02:00:00 AM,8.792,,,,
270,07/15/18 02:30:00 AM,8.767,,,,
271,07/15/18 03:00:00 AM,8.767,,,,
272,07/15/18 03:30:00 AM,8.767,,,,
273,07/15/18 04:00:00 AM,8.742,,,,
274,07/15/18 04:30:00 AM,8.668,,,,
275,07/15/18 05:00:00 AM,8.494,,,,
276,07/15/18 05:30:00 AM,8.319,,,,
277,07/15/18 06:00:00 AM,8.270,,,,
278,07/15/18 06:30:00 AM,8.270,,,,
279,07/15/18 07:00:00 AM,8.344,,,,
280,07/15/18 07:30:00 AM,8.469,,,,
281,07/15/18 08:00:00 AM,8.643,,,,
282,07/15/18 08:30:00 AM,8.792,,,,
283,07/15/18 09:00:00 AM,8.916,,,,
284,07/15/18 09:30:00 AM,8.965,,,,
285,07/15/18 10:00:00 AM,9.089,,,,
286,07/15/18 10:30:00 AM,9.213,,,,
287,07/15/18 11:00:00 AM,9.509,,,,
288,07/15/18 11:30:00 AM,10.075,,,,
289,07/15/18 12:00:00 PM,10.198,,,,
290,07/15/18 12:30:00 PM,10.516,,,,
291,07/15/18 01:00:00 PM,10.418,,,,
292,07/15/18 01:30:00 PM,10.320,,,,
293,07/15/18 02:00:00 PM,10.320,,,,
294,07/15/18 02:30:00 PM,10.271,,,,
295,07/15/18 03:00:00 PM,10.173,,,,
296,07/15/18 03:30:00 PM,10.271,,,,
297,07/15/18 04:00:00 PM,10.443,,,,
298,07/15/18 04:30:00 PM,10.687,,,,
299,07/15/18 05:00:00 PM,10.712,,,,
300,07/15/18 05:30:00 PM,10.320,,,,
301,07/15/18 06:00:00 PM,10.124,,,,
302,07/15/18 06:30:00 PM,9.952,,,,
303,07/15/18 07:00:00 PM,9.706,,,,
304,07/15/18 07:30:00 PM,9.509,,,,
305,07/15/18 08:00:00 PM,9.386,,,,
306,07/15/18 08:30:00 PM,9.163,,,,
307,07/15/18 09:00:00 PM,8.990,,,,
308,07/15/18 09:30:00 PM,8.841,,,,
309,07/15/18 10:00:00 PM,8.767,,,,
310,07/15/18 10:30:00 PM,8.717,,,,
311,07/15/18 11:00:00 PM,8.668,,,,
312,07/15/18 11:30:00 PM,8.618,,,,
313,07/16/18 12:00:00 AM,8.593,,,,
314,07/16/18 12:30:00 AM,8.543,,,,
315,07/16/18 01:00:00 AM,8.519,,,,
316,07/16/18 01:30:00 AM,8.519,,,,
317,07/16/18 02:00:00 AM,8.543,,,,
318,07/16/18 02:30:00 AM,8.568,,,,
