"Plot Title: MLI_365"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 20020055, SEN S/N: 20020055, LBL: Celcius)","Coupler Detached (LGR S/N: 20020055)","Coupler Attached (LGR S/N: 20020055)","End Of File (LGR S/N: 20020055)"
1,07/04/18 12:00:00 PM,28.518,Logged,,
2,07/04/18 12:30:00 PM,31.433,,,
3,07/04/18 01:00:00 PM,29.966,,,
4,07/04/18 01:30:00 PM,27.358,,,
5,07/04/18 02:00:00 PM,25.671,,,
6,07/04/18 02:30:00 PM,25.623,,,
7,07/04/18 03:00:00 PM,25.525,,,
8,07/04/18 03:30:00 PM,26.085,,,
9,07/04/18 04:00:00 PM,25.283,,,
10,07/04/18 04:30:00 PM,24.339,,,
11,07/04/18 05:00:00 PM,23.545,,,
12,07/04/18 05:30:00 PM,22.896,,,
13,07/04/18 06:00:00 PM,22.513,,,
14,07/04/18 06:30:00 PM,22.729,,,
15,07/04/18 07:00:00 PM,23.208,,,
16,07/04/18 07:30:00 PM,23.689,,,
17,07/04/18 08:00:00 PM,24.171,,,
18,07/04/18 08:30:00 PM,24.629,,,
19,07/04/18 09:00:00 PM,25.040,,,
20,07/04/18 09:30:00 PM,25.234,,,
21,07/04/18 10:00:00 PM,25.162,,,
22,07/04/18 10:30:00 PM,24.944,,,
23,07/04/18 11:00:00 PM,24.629,,,
24,07/04/18 11:30:00 PM,24.315,,,
25,07/05/18 12:00:00 AM,24.002,,,
26,07/05/18 12:30:00 AM,23.713,,,
27,07/05/18 01:00:00 AM,23.448,,,
28,07/05/18 01:30:00 AM,23.184,,,
29,07/05/18 02:00:00 AM,22.968,,,
30,07/05/18 02:30:00 AM,22.753,,,
31,07/05/18 03:00:00 AM,22.561,,,
32,07/05/18 03:30:00 AM,22.369,,,
33,07/05/18 04:00:00 AM,22.202,,,
34,07/05/18 04:30:00 AM,22.058,,,
35,07/05/18 05:00:00 AM,21.915,,,
36,07/05/18 05:30:00 AM,21.819,,,
37,07/05/18 06:00:00 AM,21.843,,,
38,07/05/18 06:30:00 AM,22.226,,,
39,07/05/18 07:00:00 AM,22.393,,,
40,07/05/18 07:30:00 AM,22.130,,,
41,07/05/18 08:00:00 AM,22.513,,,
42,07/05/18 08:30:00 AM,22.369,,,
43,07/05/18 09:00:00 AM,21.628,,,
44,07/05/18 09:30:00 AM,22.393,,,
45,07/05/18 10:00:00 AM,25.939,,,
46,07/05/18 10:30:00 AM,26.061,,,
47,07/05/18 11:00:00 AM,26.475,,,
48,07/05/18 11:30:00 AM,27.284,,,
49,07/05/18 12:00:00 PM,27.751,,,
50,07/05/18 12:30:00 PM,28.543,,,
51,07/05/18 01:00:00 PM,29.265,,,
52,07/05/18 01:30:00 PM,30.066,,,
53,07/05/18 02:00:00 PM,30.444,,,
54,07/05/18 02:30:00 PM,30.722,,,
55,07/05/18 03:00:00 PM,31.052,,,
56,07/05/18 03:30:00 PM,31.103,,,
57,07/05/18 04:00:00 PM,30.976,,,
58,07/05/18 04:30:00 PM,30.874,,,
59,07/05/18 05:00:00 PM,30.596,,,
60,07/05/18 05:30:00 PM,30.495,,,
61,07/05/18 06:00:00 PM,30.343,,,
62,07/05/18 06:30:00 PM,30.066,,,
63,07/05/18 07:00:00 PM,29.815,,,
64,07/05/18 07:30:00 PM,29.464,,,
65,07/05/18 08:00:00 PM,29.090,,,
66,07/05/18 08:30:00 PM,28.692,,,
67,07/05/18 09:00:00 PM,28.295,,,
68,07/05/18 09:30:00 PM,27.924,,,
69,07/05/18 10:00:00 PM,27.628,,,
70,07/05/18 10:30:00 PM,27.382,,,
71,07/05/18 11:00:00 PM,27.161,,,
72,07/05/18 11:30:00 PM,26.965,,,
73,07/06/18 12:00:00 AM,26.769,,,
74,07/06/18 12:30:00 AM,26.573,,,
75,07/06/18 01:00:00 AM,26.402,,,
76,07/06/18 01:30:00 AM,26.256,,,
77,07/06/18 02:00:00 AM,26.109,,,
78,07/06/18 02:30:00 AM,25.963,,,
79,07/06/18 03:00:00 AM,25.817,,,
