"Plot Title: TRSA_365_10756016"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 10756016, SEN S/N: 10756016)","Coupler Detached (LGR S/N: 10756016)","Coupler Attached (LGR S/N: 10756016)","Host Connected (LGR S/N: 10756016)","End Of File (LGR S/N: 10756016)"
1,07/05/18 09:30:00 AM,26.329,Logged,,,
2,07/05/18 10:00:00 AM,26.622,,,,
3,07/05/18 10:30:00 AM,26.989,,,,
4,07/05/18 11:00:00 AM,27.308,,,,
5,07/05/18 11:30:00 AM,27.579,,,,
6,07/05/18 12:00:00 PM,27.825,,,,
7,07/05/18 12:30:00 PM,28.072,,,,
8,07/05/18 01:00:00 PM,28.345,,,,
9,07/05/18 01:30:00 PM,28.692,,,,
10,07/05/18 02:00:00 PM,29.015,,,,
11,07/05/18 02:30:00 PM,29.240,,,,
12,07/05/18 03:00:00 PM,29.414,,,,
13,07/05/18 03:30:00 PM,29.414,,,,
14,07/05/18 04:00:00 PM,29.540,,,,
15,07/05/18 04:30:00 PM,29.690,,,,
16,07/05/18 05:00:00 PM,29.890,,,,
17,07/05/18 05:30:00 PM,29.966,,,,
18,07/05/18 06:00:00 PM,30.041,,,,
19,07/05/18 06:30:00 PM,29.966,,,,
20,07/05/18 07:00:00 PM,29.790,,,,
21,07/05/18 07:30:00 PM,29.665,,,,
22,07/05/18 08:00:00 PM,29.565,,,,
23,07/05/18 08:30:00 PM,29.490,,,,
24,07/05/18 09:00:00 PM,29.414,,,,
25,07/05/18 09:30:00 PM,29.340,,,,
26,07/05/18 10:00:00 PM,29.265,,,,
27,07/05/18 10:30:00 PM,29.165,,,,
28,07/05/18 11:00:00 PM,29.065,,,,
29,07/05/18 11:30:00 PM,28.965,,,,
30,07/06/18 12:00:00 AM,28.841,,,,
31,07/06/18 12:30:00 AM,28.692,,,,
32,07/06/18 01:00:00 AM,28.518,,,,
33,07/06/18 01:30:00 AM,28.394,,,,
34,07/06/18 02:00:00 AM,28.270,,,,
35,07/06/18 02:30:00 AM,28.147,,,,
36,07/06/18 03:00:00 AM,28.048,,,,
37,07/06/18 03:30:00 AM,27.949,,,,
38,07/06/18 04:00:00 AM,27.875,,,,
39,07/06/18 04:30:00 AM,27.776,,,,
40,07/06/18 05:00:00 AM,27.702,,,,
41,07/06/18 05:30:00 AM,27.604,,,,
42,07/06/18 06:00:00 AM,27.530,,,,
43,07/06/18 06:30:00 AM,27.456,,,,
44,07/06/18 07:00:00 AM,27.382,,,,
45,07/06/18 07:30:00 AM,27.333,,,,
46,07/06/18 08:00:00 AM,27.259,,,,
47,07/06/18 08:30:00 AM,27.210,,,,
48,07/06/18 09:00:00 AM,27.161,,,,
49,07/06/18 09:30:00 AM,27.087,,,,
50,07/06/18 10:00:00 AM,27.014,,,,
51,07/06/18 10:30:00 AM,26.940,,,,
52,07/06/18 11:00:00 AM,26.891,,,,
53,07/06/18 11:30:00 AM,26.891,,,,
54,07/06/18 12:00:00 PM,26.867,,,,
55,07/06/18 12:30:00 PM,26.891,,,,
56,07/06/18 01:00:00 PM,27.087,,,,
57,07/06/18 01:30:00 PM,27.259,,,,
58,07/06/18 02:00:00 PM,27.481,,,,
59,07/06/18 02:30:00 PM,27.628,,,,
60,07/06/18 03:00:00 PM,27.628,,,,
61,07/06/18 03:30:00 PM,27.579,,,,
62,07/06/18 04:00:00 PM,27.554,,,,
63,07/06/18 04:30:00 PM,27.505,,,,
64,07/06/18 05:00:00 PM,27.431,,,,
65,07/06/18 05:30:00 PM,27.308,,,,
66,07/06/18 06:00:00 PM,27.112,,,,
67,07/06/18 06:30:00 PM,26.793,,,,
68,07/06/18 07:00:00 PM,26.500,,,,
69,07/06/18 07:30:00 PM,26.182,,,,
70,07/06/18 08:00:00 PM,25.914,,,,
71,07/06/18 08:30:00 PM,25.647,,,,
72,07/06/18 09:00:00 PM,25.331,,,,
73,07/06/18 09:30:00 PM,25.089,,,,
74,07/06/18 10:00:00 PM,24.871,,,,
75,07/06/18 10:30:00 PM,24.484,,,,
76,07/06/18 11:00:00 PM,24.291,,,,
77,07/06/18 11:30:00 PM,24.026,,,,
78,07/07/18 12:00:00 AM,23.785,,,,
79,07/07/18 12:30:00 AM,23.569,,,,
80,07/07/18 01:00:00 AM,23.328,,,,
81,07/07/18 01:30:00 AM,23.136,,,,
82,07/07/18 02:00:00 AM,22.920,,,,
83,07/07/18 02:30:00 AM,22.657,,,,
84,07/07/18 03:00:00 AM,22.441,,,,
85,07/07/18 03:30:00 AM,22.226,,,,
86,07/07/18 04:00:00 AM,22.082,,,,
87,07/07/18 04:30:00 AM,21.843,,,,
88,07/07/18 05:00:00 AM,21.676,,,,
89,07/07/18 05:30:00 AM,21.509,,,,
90,07/07/18 06:00:00 AM,21.366,,,,
91,07/07/18 06:30:00 AM,21.223,,,,
92,07/07/18 07:00:00 AM,21.103,,,,
93,07/07/18 07:30:00 AM,21.008,,,,
94,07/07/18 08:00:00 AM,20.936,,,,
95,07/07/18 08:30:00 AM,20.936,,,,
96,07/07/18 09:00:00 AM,20.960,,,,
97,07/07/18 09:30:00 AM,21.151,,,,
98,07/07/18 10:00:00 AM,21.294,,,,
99,07/07/18 10:30:00 AM,21.485,,,,
100,07/07/18 11:00:00 AM,21.724,,,,
101,07/07/18 11:30:00 AM,21.987,,,,
