"Plot Title: MOB1_365"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 20020056, SEN S/N: 20020056, LBL: celcius)","Coupler Detached (LGR S/N: 20020056)","Coupler Attached (LGR S/N: 20020056)","Host Connected (LGR S/N: 20020056)","End Of File (LGR S/N: 20020056)"
1,07/04/18 12:00:00 PM,27.899,Logged,,,
2,07/04/18 12:30:00 PM,30.469,,,,
3,07/04/18 01:00:00 PM,29.090,,,,
4,07/04/18 01:30:00 PM,27.210,,,,
5,07/04/18 02:00:00 PM,25.768,,,,
6,07/04/18 02:30:00 PM,25.525,,,,
7,07/04/18 03:00:00 PM,25.210,,,,
8,07/04/18 03:30:00 PM,25.647,,,,
9,07/04/18 04:00:00 PM,24.726,,,,
10,07/04/18 04:30:00 PM,23.881,,,,
11,07/04/18 05:00:00 PM,23.184,,,,
12,07/04/18 05:30:00 PM,22.633,,,,
13,07/04/18 06:00:00 PM,22.369,,,,
14,07/04/18 06:30:00 PM,22.681,,,,
15,07/04/18 07:00:00 PM,23.136,,,,
16,07/04/18 07:30:00 PM,23.617,,,,
17,07/04/18 08:00:00 PM,24.098,,,,
18,07/04/18 08:30:00 PM,24.532,,,,
19,07/04/18 09:00:00 PM,24.944,,,,
20,07/04/18 09:30:00 PM,25.113,,,,
21,07/04/18 10:00:00 PM,24.968,,,,
22,07/04/18 10:30:00 PM,24.726,,,,
23,07/04/18 11:00:00 PM,24.436,,,,
24,07/04/18 11:30:00 PM,24.122,,,,
25,07/05/18 12:00:00 AM,23.833,,,,
26,07/05/18 12:30:00 AM,23.545,,,,
27,07/05/18 01:00:00 AM,23.304,,,,
28,07/05/18 01:30:00 AM,23.064,,,,
29,07/05/18 02:00:00 AM,22.848,,,,
30,07/05/18 02:30:00 AM,22.657,,,,
31,07/05/18 03:00:00 AM,22.465,,,,
32,07/05/18 03:30:00 AM,22.298,,,,
33,07/05/18 04:00:00 AM,22.130,,,,
34,07/05/18 04:30:00 AM,21.987,,,,
35,07/05/18 05:00:00 AM,21.843,,,,
36,07/05/18 05:30:00 AM,21.772,,,,
37,07/05/18 06:00:00 AM,21.795,,,,
38,07/05/18 06:30:00 AM,22.274,,,,
39,07/05/18 07:00:00 AM,22.369,,,,
40,07/05/18 07:30:00 AM,21.963,,,,
41,07/05/18 08:00:00 AM,22.800,,,,
42,07/05/18 08:30:00 AM,21.772,,,,
43,07/05/18 09:00:00 AM,21.032,,,,
44,07/05/18 09:30:00 AM,23.641,,,,
45,07/05/18 10:00:00 AM,23.785,,,,
46,07/05/18 10:30:00 AM,24.002,,,,
47,07/05/18 11:00:00 AM,24.412,,,,
48,07/05/18 11:30:00 AM,24.968,,,,
49,07/05/18 12:00:00 PM,25.380,,,,
50,07/05/18 12:30:00 PM,25.720,,,,
51,07/05/18 01:00:00 PM,26.036,,,,
52,07/05/18 01:30:00 PM,26.475,,,,
53,07/05/18 02:00:00 PM,26.867,,,,
54,07/05/18 02:30:00 PM,27.112,,,,
55,07/05/18 03:00:00 PM,27.308,,,,
56,07/05/18 03:30:00 PM,27.358,,,,
57,07/05/18 04:00:00 PM,27.259,,,,
58,07/05/18 04:30:00 PM,27.112,,,,
59,07/05/18 05:00:00 PM,27.014,,,,
60,07/05/18 05:30:00 PM,27.014,,,,
61,07/05/18 06:00:00 PM,27.063,,,,
62,07/05/18 06:30:00 PM,27.136,,,,
63,07/05/18 07:00:00 PM,27.235,,,,
64,07/05/18 07:30:00 PM,27.308,,,,
65,07/05/18 08:00:00 PM,27.358,,,,
