"Plot Title: SAF_365"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 10756026, SEN S/N: 10756026, LBL: Celsius)","Coupler Detached (LGR S/N: 10756026)","Coupler Attached (LGR S/N: 10756026)","Host Connected (LGR S/N: 10756026)","End Of File (LGR S/N: 10756026)"
1,07/02/18 04:30:00 PM,23.328,Logged,,,
2,07/02/18 05:00:00 PM,23.376,,,,
3,07/02/18 05:30:00 PM,23.448,,,,
4,07/02/18 06:00:00 PM,23.472,,,,
5,07/02/18 06:30:00 PM,23.497,,,,
6,07/02/18 07:00:00 PM,23.521,,,,
7,07/02/18 07:30:00 PM,23.521,,,,
8,07/02/18 08:00:00 PM,23.497,,,,
9,07/02/18 08:30:00 PM,23.472,,,,
10,07/02/18 09:00:00 PM,23.448,,,,
11,07/02/18 09:30:00 PM,23.424,,,,
12,07/02/18 10:00:00 PM,23.424,,,,
13,07/02/18 10:30:00 PM,23.400,,,,
14,07/02/18 11:00:00 PM,23.376,,,,
15,07/02/18 11:30:00 PM,23.328,,,,
16,07/03/18 12:00:00 AM,23.256,,,,
17,07/03/18 12:30:00 AM,23.184,,,,
18,07/03/18 01:00:00 AM,23.064,,,,
19,07/03/18 01:30:00 AM,22.944,,,,
20,07/03/18 02:00:00 AM,22.800,,,,
21,07/03/18 02:30:00 AM,22.681,,,,
22,07/03/18 03:00:00 AM,22.537,,,,
23,07/03/18 03:30:00 AM,22.393,,,,
24,07/03/18 04:00:00 AM,22.250,,,,
25,07/03/18 04:30:00 AM,22.082,,,,
26,07/03/18 05:00:00 AM,21.939,,,,
27,07/03/18 05:30:00 AM,21.795,,,,
28,07/03/18 06:00:00 AM,21.676,,,,
29,07/03/18 06:30:00 AM,21.557,,,,
30,07/03/18 07:00:00 AM,21.461,,,,
31,07/03/18 07:30:00 AM,21.390,,,,
32,07/03/18 08:00:00 AM,21.342,,,,
33,07/03/18 08:30:00 AM,21.342,,,,
34,07/03/18 09:00:00 AM,21.366,,,,
35,07/03/18 09:30:00 AM,21.461,,,,
36,07/03/18 10:00:00 AM,21.628,,,,
37,07/03/18 10:30:00 AM,21.891,,,,
38,07/03/18 11:00:00 AM,22.154,,,,
39,07/03/18 11:30:00 AM,22.465,,,,
40,07/03/18 12:00:00 PM,22.753,,,,
41,07/03/18 12:30:00 PM,22.896,,,,
42,07/03/18 01:00:00 PM,23.016,,,,
43,07/03/18 01:30:00 PM,23.112,,,,
44,07/03/18 02:00:00 PM,23.400,,,,
45,07/03/18 02:30:00 PM,23.569,,,,
46,07/03/18 03:00:00 PM,23.761,,,,
47,07/03/18 03:30:00 PM,23.930,,,,
48,07/03/18 04:00:00 PM,24.074,,,,
49,07/03/18 04:30:00 PM,24.171,,,,
50,07/03/18 05:00:00 PM,24.267,,,,
51,07/03/18 05:30:00 PM,24.315,,,,
52,07/03/18 06:00:00 PM,24.388,,,,
53,07/03/18 06:30:00 PM,24.412,,,,
54,07/03/18 07:00:00 PM,24.412,,,,
55,07/03/18 07:30:00 PM,24.388,,,,
56,07/03/18 08:00:00 PM,24.363,,,,
57,07/03/18 08:30:00 PM,24.291,,,,
58,07/03/18 09:00:00 PM,24.219,,,,
59,07/03/18 09:30:00 PM,24.171,,,,
60,07/03/18 10:00:00 PM,24.122,,,,
61,07/03/18 10:30:00 PM,24.074,,,,
62,07/03/18 11:00:00 PM,24.050,,,,
63,07/03/18 11:30:00 PM,24.026,,,,
64,07/04/18 12:00:00 AM,23.978,,,,
65,07/04/18 12:30:00 AM,23.930,,,,
66,07/04/18 01:00:00 AM,23.857,,,,
67,07/04/18 01:30:00 AM,23.785,,,,
68,07/04/18 02:00:00 AM,23.665,,,,
69,07/04/18 02:30:00 AM,23.545,,,,
70,07/04/18 03:00:00 AM,23.376,,,,
71,07/04/18 03:30:00 AM,23.208,,,,
72,07/04/18 04:00:00 AM,22.992,,,,
73,07/04/18 04:30:00 AM,22.800,,,,
74,07/04/18 05:00:00 AM,22.585,,,,
75,07/04/18 05:30:00 AM,22.369,,,,
76,07/04/18 06:00:00 AM,22.178,,,,
77,07/04/18 06:30:00 AM,22.011,,,,
78,07/04/18 07:00:00 AM,21.843,,,,
79,07/04/18 07:30:00 AM,21.700,,,,
80,07/04/18 08:00:00 AM,21.604,,,,
81,07/04/18 08:30:00 AM,21.533,,,,
82,07/04/18 09:00:00 AM,21.533,,,,
83,07/04/18 09:30:00 AM,21.628,,,,
84,07/04/18 10:00:00 AM,21.795,,,,
85,07/04/18 10:30:00 AM,22.082,,,,
86,07/04/18 11:00:00 AM,22.393,,,,
87,07/04/18 11:30:00 AM,22.753,,,,
88,07/04/18 12:00:00 PM,23.136,,,,
89,07/04/18 12:30:00 PM,23.497,,,,
90,07/04/18 01:00:00 PM,23.833,,,,
91,07/04/18 01:30:00 PM,24.098,,,,
92,07/04/18 02:00:00 PM,24.315,,,,
93,07/04/18 02:30:00 PM,24.460,,,,
94,07/04/18 03:00:00 PM,24.581,,,,
95,07/04/18 03:30:00 PM,24.653,,,,
96,07/04/18 04:00:00 PM,24.726,,,,
97,07/04/18 04:30:00 PM,24.798,,,,
98,07/04/18 05:00:00 PM,24.847,,,,
99,07/04/18 05:30:00 PM,24.919,,,,
100,07/04/18 06:00:00 PM,24.944,,,,
101,07/04/18 06:30:00 PM,24.968,,,,
102,07/04/18 07:00:00 PM,24.944,,,,
103,07/04/18 07:30:00 PM,24.895,,,,
104,07/04/18 08:00:00 PM,24.823,,,,
105,07/04/18 08:30:00 PM,24.750,,,,
106,07/04/18 09:00:00 PM,24.677,,,,
107,07/04/18 09:30:00 PM,24.605,,,,
108,07/04/18 10:00:00 PM,24.532,,,,
109,07/04/18 10:30:00 PM,24.484,,,,
110,07/04/18 11:00:00 PM,24.412,,,,
111,07/04/18 11:30:00 PM,24.388,,,,
112,07/05/18 12:00:00 AM,24.363,,,,
113,07/05/18 12:30:00 AM,24.339,,,,
114,07/05/18 01:00:00 AM,24.291,,,,
115,07/05/18 01:30:00 AM,24.267,,,,
116,07/05/18 02:00:00 AM,24.219,,,,
117,07/05/18 02:30:00 AM,24.146,,,,
118,07/05/18 03:00:00 AM,24.050,,,,
119,07/05/18 03:30:00 AM,23.954,,,,
120,07/05/18 04:00:00 AM,23.833,,,,
121,07/05/18 04:30:00 AM,23.689,,,,
122,07/05/18 05:00:00 AM,23.521,,,,
123,07/05/18 05:30:00 AM,23.376,,,,
124,07/05/18 06:00:00 AM,23.208,,,,
125,07/05/18 06:30:00 AM,23.040,,,,
126,07/05/18 07:00:00 AM,22.896,,,,
127,07/05/18 07:30:00 AM,22.753,,,,
128,07/05/18 08:00:00 AM,22.657,,,,
129,07/05/18 08:30:00 AM,22.585,,,,
130,07/05/18 09:00:00 AM,22.537,,,,
131,07/05/18 09:30:00 AM,22.609,,,,
132,07/05/18 10:00:00 AM,22.776,,,,
133,07/05/18 10:30:00 AM,23.040,,,,
134,07/05/18 11:00:00 AM,23.352,,,,
135,07/05/18 11:30:00 AM,23.689,,,,
136,07/05/18 12:00:00 PM,24.026,,,,
137,07/05/18 12:30:00 PM,24.339,,,,
138,07/05/18 01:00:00 PM,24.653,,,,
139,07/05/18 01:30:00 PM,24.895,,,,
140,07/05/18 02:00:00 PM,25.137,,,,
141,07/05/18 02:30:00 PM,25.307,,,,
142,07/05/18 03:00:00 PM,25.404,,,,
143,07/05/18 03:30:00 PM,25.477,,,,
144,07/05/18 04:00:00 PM,25.525,,,,
145,07/05/18 04:30:00 PM,25.550,,,,
