"Plot Title: SBLO1_365_20020047"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 20020047, SEN S/N: 20020047, LBL: celsius)","Coupler Detached (LGR S/N: 20020047)","Coupler Attached (LGR S/N: 20020047)","Host Connected (LGR S/N: 20020047)","End Of File (LGR S/N: 20020047)"
1,07/05/18 12:00:00 PM,29.690,Logged,,,
2,07/05/18 12:30:00 PM,30.066,,,,
3,07/05/18 01:00:00 PM,30.520,,,,
4,07/05/18 01:30:00 PM,30.596,,,,
5,07/05/18 02:00:00 PM,30.950,,,,
6,07/05/18 02:30:00 PM,31.052,,,,
7,07/05/18 03:00:00 PM,31.204,,,,
8,07/05/18 03:30:00 PM,31.331,,,,
9,07/05/18 04:00:00 PM,31.306,,,,
10,07/05/18 04:30:00 PM,31.179,,,,
11,07/05/18 05:00:00 PM,31.153,,,,
12,07/05/18 05:30:00 PM,30.874,,,,
13,07/05/18 06:00:00 PM,30.672,,,,
14,07/05/18 06:30:00 PM,30.469,,,,
15,07/05/18 07:00:00 PM,30.217,,,,
16,07/05/18 07:30:00 PM,29.941,,,,
17,07/05/18 08:00:00 PM,29.665,,,,
18,07/05/18 08:30:00 PM,29.365,,,,
19,07/05/18 09:00:00 PM,29.115,,,,
20,07/05/18 09:30:00 PM,28.916,,,,
21,07/05/18 10:00:00 PM,28.742,,,,
22,07/05/18 10:30:00 PM,28.568,,,,
23,07/05/18 11:00:00 PM,28.419,,,,
24,07/05/18 11:30:00 PM,28.295,,,,
25,07/06/18 12:00:00 AM,28.122,,,,
26,07/06/18 12:30:00 AM,27.998,,,,
27,07/06/18 01:00:00 AM,27.875,,,,
28,07/06/18 01:30:00 AM,27.727,,,,
29,07/06/18 02:00:00 AM,27.579,,,,
30,07/06/18 02:30:00 AM,27.481,,,,
31,07/06/18 03:00:00 AM,27.358,,,,
32,07/06/18 03:30:00 AM,27.284,,,,
33,07/06/18 04:00:00 AM,27.186,,,,
34,07/06/18 04:30:00 AM,27.087,,,,
35,07/06/18 05:00:00 AM,26.965,,,,
36,07/06/18 05:30:00 AM,26.891,,,,
37,07/06/18 06:00:00 AM,26.867,,,,
38,07/06/18 06:30:00 AM,26.842,,,,
39,07/06/18 07:00:00 AM,26.818,,,,
40,07/06/18 07:30:00 AM,26.769,,,,
41,07/06/18 08:00:00 AM,26.720,,,,
42,07/06/18 08:30:00 AM,26.671,,,,
43,07/06/18 09:00:00 AM,26.671,,,,
44,07/06/18 09:30:00 AM,26.524,,,,
45,07/06/18 10:00:00 AM,26.426,,,,
46,07/06/18 10:30:00 AM,26.426,,,,
47,07/06/18 11:00:00 AM,26.426,,,,
48,07/06/18 11:30:00 AM,26.378,,,,
49,07/06/18 12:00:00 PM,26.353,,,,
50,07/06/18 12:30:00 PM,26.500,,,,
51,07/06/18 01:00:00 PM,26.940,,,,
52,07/06/18 01:30:00 PM,27.063,,,,
53,07/06/18 02:00:00 PM,27.087,,,,
54,07/06/18 02:30:00 PM,27.112,,,,
55,07/06/18 03:00:00 PM,27.063,,,,
56,07/06/18 03:30:00 PM,27.136,,,,
57,07/06/18 04:00:00 PM,27.112,,,,
58,07/06/18 04:30:00 PM,27.038,,,,
59,07/06/18 05:00:00 PM,26.965,,,,
60,07/06/18 05:30:00 PM,26.916,,,,
61,07/06/18 06:00:00 PM,26.891,,,,
62,07/06/18 06:30:00 PM,26.402,,,,
63,07/06/18 07:00:00 PM,26.036,,,,
64,07/06/18 07:30:00 PM,25.574,,,,
65,07/06/18 08:00:00 PM,25.234,,,,
66,07/06/18 08:30:00 PM,24.919,,,,
67,07/06/18 09:00:00 PM,24.581,,,,
68,07/06/18 09:30:00 PM,24.291,,,,
