Date,"""Date+Time""",PM2.5 Conc__(ug/m3),Wind'Speed (miles/h),Wind Direction (Degrees),Date,% RH,error,technician
5/1/2018,0:00,filter error,3,68,5/1/2018,,,
5/1/2018,1:00,7,4,68,5/1/2018,,,
5/1/2018,2:00,5,5,68,5/1/2018,,,
5/1/2018,3:00,5,5,68,5/1/2018,,,
5/1/2018,4:00,9,4,68,5/1/2018,,,
5/1/2018,5:00,6,3,135,5/1/2018,,,
5/1/2018,6:00,6,3,68,5/1/2018,,,
5/1/2018,7:00,8,3,113,5/1/2018,,,
5/1/2018,8:00,11,2,90,5/1/2018,,,
5/1/2018,9:00,9,2,68,5/1/2018,,,
5/1/2018,15:00,7,6,0,5/1/2018,,,bob
5/1/2018,16:00,8,6,68,5/1/2018,,,bob
5/1/2018,17:00,7,5,68,5/1/2018,,,
5/1/2018,18:00,11,5,68,5/1/2018,,,
5/1/2018,19:00,11,4,68,5/1/2018,,,
5/1/2018,20:00,10,3,45,5/1/2018,,,
5/1/2018,21:00,10,1,45,5/1/2018,,,
5/1/2018,22:00,6,3,113,5/1/2018,,,
5/1/2018,23:00,7,3,68,5/1/2018,,,
5/2/2018,0:00,9,1,113,5/2/2018,,,
5/2/2018,1:00,6,0,,5/2/2018,,,
5/2/2018,2:00,6,0,,5/2/2018,,,
5/2/2018,3:00,7,0,,5/2/2018,,,
5/2/2018,4:00,5,0,,5/2/2018,,,
5/2/2018,5:00,7,0,135,5/2/2018,,,
5/2/2018,6:00,9,2,135,5/2/2018,,,
5/2/2018,7:00,7,0,135,5/2/2018,,,
5/2/2018,8:00,5,0,,5/2/2018,,,
5/2/2018,9:00,3,0,,5/2/2018,,,
5/2/2018,10:00,2,2,23,5/2/2018,,,
5/2/2018,11:00,5,1,23,5/2/2018,,,
5/2/2018,12:00,4,2,45,5/2/2018,,,
5/2/2018,13:00,filter error,4,90,5/2/2018,,,
5/2/2018,14:00,4,4,68,5/2/2018,,,
5/2/2018,15:00,5,4,68,5/2/2018,,,
5/2/2018,16:00,7,4,113,5/2/2018,,,
5/2/2018,17:00,5,3,113,5/2/2018,,,
5/2/2018,19:00,5,1,68,5/2/2018,,,
5/2/2018,20:00,5,1,68,5/2/2018,,,
5/2/2018,21:00,5,1,45,5/2/2018,,,
5/2/2018,22:00,4,1,68,5/2/2018,,,
5/2/2018,23:00,6,1,68,5/2/2018,,,
5/3/2018,0:00,7,1,90,5/3/2018,,,
5/3/2018,1:00,6,1,90,5/3/2018,,,
5/3/2018,3:00,6,0,90,5/3/2018,,,
5/3/2018,4:00,7,20,270,5/3/2018,,,
5/3/2018,5:00,7,20,270,5/3/2018,,,
5/3/2018,6:00,10,20,270,5/3/2018,,,
5/3/2018,7:00,6,20,270,5/3/2018,,,
5/3/2018,8:00,9,20,315,5/3/2018,,,
5/3/2018,9:00,8,20,293,5/3/2018,,,
5/3/2018,10:00,7,6,68,5/3/2018,,,
5/3/2018,12:00,6,6,68,5/3/2018,,,
5/3/2018,13:00,6,6,68,5/3/2018,,,
5/3/2018,14:00,6,6,68,5/3/2018,,,
5/3/2018,15:00,6,7,68,5/3/2018,,,
5/3/2018,16:00,6,7,68,5/3/2018,,,
5/3/2018,17:00,9,6,68,5/3/2018,,,
5/3/2018,18:00,7,6,68,5/3/2018,,,
5/3/2018,19:00,7,4,45,5/3/2018,,,
5/3/2018,20:00,13,1,45,5/3/2018,,,
5/3/2018,21:00,9,20,203,5/3/2018,,,
5/3/2018,22:00,11,1,180,5/3/2018,,,
5/3/2018,23:00,10,20,225,5/3/2018,,,
5/4/2018,0:00,11,3,180,5/4/2018,,,
5/4/2018,1:00,10,3,180,5/4/2018,,,
5/4/2018,2:00,10,4,180,5/4/2018,,,
5/4/2018,3:00,15,20,203,5/4/2018,,,
5/4/2018,4:00,11,20,270,5/4/2018,,,
5/4/2018,5:00,8,20,270,5/4/2018,,,
5/4/2018,6:00,10,20,270,5/4/2018,,,
5/4/2018,7:00,8,20,270,5/4/2018,,,
5/4/2018,8:00,4,20,270,5/4/2018,,,
5/4/2018,9:00,2,20,270,5/4/2018,,,
5/4/2018,10:00,6,20,270,5/4/2018,,,
5/4/2018,11:00,5,20,293,5/4/2018,,,
5/4/2018,12:00,2,20,315,5/4/2018,,,
5/4/2018,13:00,3,20,315,5/4/2018,,,
5/4/2018,14:00,0,20,315,5/4/2018,,,
5/4/2018,15:00,3,20,315,5/4/2018,,,
5/4/2018,16:00,7,5,113,5/4/2018,,,
5/4/2018,17:00,17,8,68,5/4/2018,,flow,
5/4/2018,18:00,16,6,45,5/4/2018,,,
5/4/2018,19:00,26,3,68,5/4/2018,,,
5/4/2018,20:00,29,2,113,5/4/2018,,,
5/4/2018,21:00,31,20,225,5/4/2018,,,
5/4/2018,22:00,27,20,270,5/4/2018,,,
5/4/2018,23:00,17,20,203,5/4/2018,,,
5/5/2018,0:00,16,4,180,5/5/2018,,,
5/5/2018,1:00,12,4,180,5/5/2018,,,
5/5/2018,2:00,11,4,158,5/5/2018,,,
5/5/2018,3:00,13,20,270,5/5/2018,,,
5/5/2018,4:00,12,20,270,5/5/2018,,,
5/5/2018,5:00,10,20,270,5/5/2018,,,
5/5/2018,6:00,12,20,270,5/5/2018,,,
5/5/2018,7:00,8,20,270,5/5/2018,,,
5/5/2018,8:00,6,20,270,5/5/2018,,,
5/5/2018,9:00,5,20,270,5/5/2018,,,
